elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
1.0,146616.27906976745,146616.27906976745,146616.27906976745,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
2.1,142508.22846079382,142508.22846079382,142508.22846079382,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
3.1,141370.04830917876,141370.04830917876,141370.04830917876,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
4.1,140386.4734299517,140386.4734299517,140386.4734299517,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
5.2,138304.72516875603,138304.72516875603,138304.72516875603,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
6.2,143805.5822906641,143805.5822906641,143805.5822906641,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
7.2,142465.8325312801,142465.8325312801,142465.8325312801,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
8.3,142891.34615384616,142891.34615384616,142891.34615384616,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
9.3,141689.42307692306,141689.42307692306,141689.42307692306,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
10.4,142295.1923076923,142295.1923076923,142295.1923076923,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
11.4,142194.81765834932,142194.81765834932,142194.81765834932,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
12.4,143058.65102639297,143058.65102639297,143058.65102639297,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
13.5,143223.6084452975,143223.6084452975,143223.6084452975,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
14.5,142732.24568138196,142732.24568138196,142732.24568138196,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
15.6,143173.70441458732,143173.70441458732,143173.70441458732,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
16.6,143491.83477425552,143491.83477425552,143491.83477425552,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
17.6,143461.6122840691,143461.6122840691,143461.6122840691,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
18.7,41549.90403071017,41549.90403071017,41549.90403071017,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
19.7,37853.448275862065,37853.448275862065,37853.448275862065,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
20.8,10764.141898370088,10764.141898370088,10764.141898370088,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
