start_ns,end_ns
167530,169328
346674,364021
362992,366714
612843,620955
614652,629541
643143,647626
716268,718430
1014157,1015547
1129580,1131130
1245952,1247060
1305497,1307288
1320662,1322787
1369782,1390723
1389102,1392648
1416841,1434899
1867585,1868698
1880533,1890518
1943924,1958926
1999080,2000028
2359292,2365235
2666613,2674876
2725308,2728329
2751638,2753276
2756159,2765766
3310464,3311101
4724481,4736936
4816540,4819030
4897812,4917664
5150125,5167261
5360734,5364428
5439308,5440649
5550773,5551896
5737547,5758140
5741672,5743248
6089847,6090972
6143910,6144922
6172047,6173991
6238015,6250151
6273333,6274991
6310078,6311870
6434752,6436073
6438392,6450917
6614708,6616363
7004763,7009789
7224868,7226702
7301976,7303155
7323674,7325909
7390457,7407003
7607019,7626534
7656034,7668016
7761566,7762474
7806175,7818775
7841629,7843223
7891306,7892312
7910783,7912132
8006851,8008433
8171227,8172586
8221230,8223650
8275612,8277015
8373584,8375136
8634666,8635768
8713668,8752087
8745296,8746631
9003145,9024737
9189678,9190865
9348714,9350055
9613698,9614548
9919108,9920485
10044582,10066302
10404704,10417672
10606985,10618329
10641385,10652855
11018721,11030778
11045689,11047170
11067148,11080414
11126825,11127849
11196320,11208863
11593427,11604412
11604550,11605953
11707868,11710535
11719411,11720982
11790293,11801813
11855537,11866691
11878308,11879297
12064000,12064895
12248118,12261239
12266535,12279809
12267608,12282588
12567638,12578345
12918865,12930207
12942323,12954408
13051274,13057250
13051567,13052852
13426108,13436639
13679201,13680515
13726804,13728492
13921997,13932850
13968892,13983785
14511778,14512738
14936241,14937873
14963464,14964819
15076995,15095940
15229586,15240966
15330541,15331467
15466980,15478958
15541348,15542554
15586370,15597649
15654058,15655129
15669280,15689591
15706986,15708985
15725106,15726114
15861105,15862270
15977363,15991199
16326624,16348896
16497336,16498276
16578236,16598022
17064376,17074777
17185639,17186784
17456913,17460462
17521558,17533115
17522384,17541717
17655460,17656730
17701216,17702257
17786116,17798203
17803564,17829104
17872876,17887968
18042562,18054164
18068466,18069451
18235330,18246071
18254887,18264753
18433487,18434681
18505930,18507095
18576373,18592706
18602621,18603457
18636298,18656949
18811263,18812557
18885766,18887108
19430998,19432991
19634060,19636308
19661195,19680290
19669742,19670622
19726618,19728922
19809132,19812633
19820164,19821152
20374850,20376474
20651452,20662998
21438212,21448512
21792723,21810796
21973385,21974504
22055771,22066590
22345785,22359034
22416519,22428619
22456119,22458285
22649390,22660951
22878515,22887577
22892068,22905318
23182424,23195164
23548029,23558930
23574387,23585937
23706288,23707183
23833227,23847510
24308114,24326842
24412765,24423540
24521218,24532321
24525233,24526893
24581721,24582796
24964012,24975671
24998201,24999216
25457087,25457891
25573964,25585751
25629326,25646663
25702504,25713106
25813108,25814176
25923455,25924534
26537834,26548154
26709812,26720650
26731054,26741022
26743196,26745156
26921747,26922522
